country,happiness_score,region,year,corruption_perceptionP1,freedomP1,gdp_per_capitaP1,generosityP1,happiness_scoreP1,life_expectancyP1,social_supportP1,corruption_perceptionP2,freedomP2,gdp_per_capitaP2,generosityP2,happiness_scoreP2,life_expectancyP2,social_supportP2,corruption_perceptionP3,freedomP3,gdp_per_capitaP3,generosityP3,happiness_scoreP3,life_expectancyP3,social_supportP3,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Bolivia,59.08722109533471,Latin America and Caribbean,2018,19.87330502850513,77.17305619413688,39.77846212059485,44.05482904985547,60.52738243861319,41.51010074498467,74.67269172343613,25.453771251216267,70.38812154696132,37.89217557251908,42.37890625,60.50709939148074,41.16564417177914,50.960462287104605,28.917271754544693,79.30110497237568,32.50620229007634,40.109375,61.886409736308316,47.256792287467135,59.5139902676399,0,0,0,1,0,0,0,0,0,0
Moldova,56.815415821501006,Central and Eastern Europe,2018,3.3160507275868483,33.249868625435354,34.774362130929475,40.7771731261164,60.83163936529881,51.66215608247422,76.14510772872141,6.25336001692029,34.80939226519336,33.00429389312977,39.056640625,62.02839756592293,45.84487291849255,50.5669099756691,5.306976577680644,45.32872928176796,28.362595419847327,40.919921875,61.86612576064908,54.18580192813322,61.7566909975669,0,1,0,0,0,0,0,0,0,0
Paraguay,57.64705882352943,Latin America and Caribbean,2018,29.92474734642655,65.40162869579889,44.49128422118325,43.77942532300957,53.833672018612184,50.76693192999369,91.68399511462592,24.303652488251423,63.86049723756905,42.63979007633587,49.40625,54.74645030425963,51.09114811568799,67.58576642335767,27.08365384101788,74.44613259668506,36.2523854961832,66.875,61.643002028397554,57.92988606485538,79.3655717761557,0,0,0,1,0,0,0,0,0,0
Kazakhstan,59.8580121703854,Central and Eastern Europe,2018,39.19699592372808,60.421862325615606,61.28608156706535,39.446176378987694,60.44624274449228,53.11494747031481,84.20736105192576,36.58034876949903,55.96685082872928,58.656011450381676,29.318359375,62.47464503042595,50.29447852760737,58.11678832116788,27.78029720601373,71.33839779005524,53.55629770992365,23.099609375,61.17647058823531,56.41367221735321,68.27311435523114,0,1,0,0,0,0,0,0,0,0
Slovenia,63.0628803245436,Central and Eastern Europe,2018,14.829624359572005,79.08505629439378,63.988833709527654,47.39240102935586,59.20892286010486,69.31009886037036,88.35272632376093,11.94480486679204,73.43093922651933,61.9976145038168,50.26953125,59.411764705882355,69.36985100788782,64.24148418491485,12.444285015279627,84.05386740331491,56.53530534351146,49.46875,61.03448275862069,76.54425942156004,77.48479318734792,0,1,0,0,0,0,0,0,0,0
Lithuania,63.144016227180536,Central and Eastern Europe,2018,3.8991138514195467,32.35245648339309,62.718623467073954,1.9852845071,62.12981643831522,55.12269414589133,89.62993349182055,5.980617567417197,26.145027624309392,60.55343511450382,3.955078125,60.32454361054766,56.68185801928133,64.72688564476886,3.387921270333588,29.477900552486183,54.73425572519084,5.158203125000001,60.73022312373225,64.09114811568799,76.48722627737226,0,1,0,0,0,0,0,0,0,0
Nicaragua,66.97768762677485,Latin America and Caribbean,2018,42.94477143220961,61.81655338455953,35.17648873438363,58.920745505020115,65.55781134243671,57.23890978238956,78.2977925599927,53.53638538920933,64.33977900552486,33.103053435114504,58.15039062499999,63.95537525354972,57.154250657318144,54.453163017031635,63.47669755483406,76.62292817679555,28.303912213740464,54.32617187499999,60.6288032454361,65.13058720420682,69.45498783454987,0,0,0,1,0,0,0,0,0,0
Peru,57.281947261663284,Latin America and Caribbean,2018,15.460582060311113,62.155093771318086,49.39051871081347,24.769475567154487,58.336717091032256,55.22928250452384,74.13445162947141,17.389795696028465,51.798342541436455,47.520038167938935,28.373046875000004,58.90466531440162,55.209465381244506,49.425182481751825,19.680175061132747,57.31491712707182,42.9479961832061,29.26171875,60.54766734279921,63.99386503067485,59.281630170316284,0,0,0,1,0,0,0,0,0,0
Belarus,53.63083164300203,Central and Eastern Europe,2018,51.36555977637435,40.80114114350373,55.17927289919085,30.30029474757617,55.37524882968497,55.89082092699728,87.89204477973782,57.36463784307803,40.18093922651933,53.94179389312978,27.230468750000004,60.101419878296156,55.30587204206835,63.86435523114354,62.730763385711136,52.40055248618784,49.23282442748093,21.57421875,60.32454361054766,64.51183172655566,74.99330900243308,0,1,0,0,0,0,0,0,0,0
Poland,66.61257606490871,Central and Eastern Europe,2018,19.488863055372843,71.87045740159171,61.631100323364016,30.95038409810508,63.569980721928204,61.303711480785104,87.93868432659853,18.073294846590432,62.41712707182321,59.43940839694656,28.208984375,60.77079107505071,60.524101665205954,63.677007299270066,13.840857798879796,73.37292817679555,53.699904580152676,32.732421875,59.87829614604465,68.2760736196319,77.82725060827251,0,1,0,0,0,0,0,0,0,0
Malaysia,70.64908722109534,Southeastern Asia,2018,21.556744365905203,55.56146166601228,61.60378911113025,81.36893156915899,65.82150325813834,54.2317640353043,78.14148626768369,29.840652818525037,53.91022099447513,59.70515267175573,81.00390624999999,64.21906693711968,54.659070990359346,53.54318734793186,34.50684894255384,73.23756906077347,53.66698473282442,64.599609375,59.45233265720079,63.44785276073619,65.09914841849148,0,0,0,0,0,0,1,0,0,0
Croatia,50.344827586206904,Central and Eastern Europe,2018,14.163913030033374,35.32766472568825,58.32806457090028,48.43808128498496,49.7768807556276,61.46262237421779,58.87974497755656,13.150786541100892,33.0207182320442,56.60734732824427,36.00390625,53.73225152129817,61.80893952673093,36.98844282238442,7.985110268584497,35.75,51.647900763358784,10.6328125,59.22920892494928,69.06660823838739,48.4330900243309,0,1,0,0,0,0,0,0,0,0
Libya,55.314401622718066,Middle East and Northern Africa,2018,30.432211534417423,64.32779421463852,52.566940092858296,29.701887979172263,54.48276055512026,45.58887113927231,82.57690572390571,33.97450825798154,56.17679558011049,50.90076335877861,33.373046875,56.308316430020284,45.840490797546,57.83211678832117,36.22216892617569,57.5524861878453,53.98139312977099,35.732421875,59.127789046653135,61.68273444347064,68.04257907542579,0,0,0,0,1,0,0,0,0,0
Russia,60.26369168356997,Central and Eastern Europe,2018,10.83177941498024,51.627501598379276,61.15353516949952,10.207777813775467,63.367136322702464,47.971019611141365,89.37240807099329,11.783788239976962,45.14088397790054,58.79198473282442,5.343750000000001,61.19675456389453,51.7011393514461,64.02737226277371,9.874591093455315,50.661602209944746,54.2767175572519,0.388671875,58.35699797160244,58.655565293602116,75.19282238442821,0,1,0,0,0,0,0,0,0,0
