country,corruption_perception,freedom,gdp_per_capita,generosity,happiness_score,life_expectancy,social_support,year,happiness_scoreP1,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Nicaragua,42.06148618842864,72.79005524861878,31.870229007633586,40.625,66.97768762677485,61.34969325153373,80.23114355231142,2018,65.55781134243671,0,0,0,1,0,0,0,0,0,0
Niger,32.53193072386278,53.86740331491712,6.25,34.17968749999999,26.916835699797172,19.36897458369851,52.73722627737226,2018,24.117644582752337,0,0,0,0,0,0,0,0,1,0
Nigeria,10.51537154710716,63.8121546961326,32.87213740458015,39.2578125,46.97768762677485,4.206836108676598,71.28953771289538,2018,45.33468319968318,0,0,0,0,0,0,0,0,1,0
Norway,100.0,94.75138121546959,69.46564885496183,55.859375,96.45030425963488,75.4601226993865,96.2287104622871,2018,95.29412128378843,0,0,0,0,0,0,0,0,0,1
Pakistan,37.132405775722155,46.13259668508285,31.106870229007637,42.18750000000001,53.40770791075053,37.1603856266433,49.270072992700726,2018,49.29006193520812,0,0,0,0,0,0,0,1,0,0
Palestinian Territories,24.9740074243795,36.7403314917127,30.62977099236641,16.796874999999996,38.62068965517243,52.76073619631903,74.02676399026764,2018,39.269778810698384,0,0,0,0,1,0,0,0,0,0
Panama,20.70213773336722,82.4585635359116,53.05343511450382,24.4140625,72.83975659229209,66.52059596844873,87.46958637469588,2018,73.28600691975255,0,0,0,1,0,0,0,0,0,0
Paraguay,24.31679670268531,74.72375690607734,39.83778625954198,31.640625,57.64705882352943,53.90008764241893,92.5790754257907,2018,53.833672018612184,0,0,0,1,0,0,0,0,0,0
Peru,11.172582268801358,73.20441988950276,44.56106870229008,17.96875,57.281947261663284,59.070990359333926,75.97323600973236,2018,58.336717091032256,0,0,0,1,0,0,0,0,0,0
Philippines,34.50356288894537,88.81215469613258,36.975190839694655,23.4375,54.46247464503043,44.96056091148115,79.8053527980535,2018,52.555777451087636,0,0,0,0,0,0,1,0,0,0
Poland,21.03074309421432,75.41436464088397,56.10687022900763,21.093750000000004,66.61257606490871,68.4487291849255,88.07785888077859,2018,63.569980721928204,0,1,0,0,0,0,0,0,0,0
Portugal,5.586291134400679,77.62430939226519,56.679389312977094,10.7421875,52.150101419878304,77.47589833479404,86.92214111922141,2018,47.789050135119275,0,0,0,0,0,0,0,0,0,1
Qatar,56.19151670485389,90.33149171270719,78.67366412213741,50.0,71.70385395537525,65.55652936021033,79.25790754257908,2018,71.72413793103449,0,0,0,0,1,0,0,0,0,0
Romania,0.32860536084709874,72.92817679558009,53.2442748091603,17.1875,63.00202839756594,63.62839614373357,74.14841849148418,2018,60.56794744959715,0,1,0,0,0,0,0,0,0,0
Russia,8.215134021177468,55.110497237569035,54.914122137404576,12.6953125,60.26369168356997,52.49780893952673,89.96350364963503,2018,63.367136322702464,0,1,0,0,0,0,0,0,0,0
Rwanda,100.0,87.8453038674033,15.83969465648855,39.0625,11.541582150101421,35.056967572305005,54.50121654501216,2018,12.819471726794731,0,0,0,0,0,0,0,0,1,0
Saudi Arabia,41.73288082758154,70.30386740331491,65.79198473282443,19.140625,71.6430020283976,55.477651183172654,80.96107055961069,2018,71.0953319000183,0,0,0,0,1,0,0,0,0,0
Senegal,26.94563958946209,56.07734806629834,20.4675572519084,26.953125,36.34888438133875,37.949167397020155,67.94403892944038,2018,34.4016196229637,0,0,0,0,0,0,0,0,1,0
Serbia,14.130030516425245,39.77900552486189,46.51717557251907,26.171875,51.906693711967534,60.03505696757232,83.27250608272504,2018,51.845841398103644,0,1,0,0,0,0,0,0,0,0
Sierra Leone,17.416084124896233,49.03314917127072,12.213740458015266,46.484375,35.131845841785,0.0,49.452554744525536,2018,37.93103672669817,0,0,0,0,0,0,0,0,1,0
Singapore,100.0,87.15469613259668,72.94847328244275,50.9765625,71.07505070993916,88.34355828220859,88.2603406326034,2018,75.7200816775432,0,0,0,0,0,0,1,0,0,0
Slovakia,4.600475051859382,48.895027624309385,57.72900763358778,23.046875,67.62677484787018,68.01051709027168,93.49148418491482,2018,66.10547767933184,0,1,0,0,0,0,0,0,0,0
Slovenia,16.758873403202035,87.43093922651934,58.15839694656489,31.25,63.0628803245436,75.02191060473268,91.6058394160584,2018,59.20892286010486,0,1,0,0,0,0,0,0,0,0
South Africa,18.401900207437528,71.27071823204419,44.84732824427482,20.1171875,38.23529411764706,28.921998247151624,85.76642335766422,2018,40.36511148448885,0,0,0,0,0,0,0,0,1,0
South Korea,16.758873403202035,33.70165745856353,60.40076335877862,34.17968749999999,61.582150101419884,83.69851007887817,73.2360097323601,2018,60.83163936529881,0,0,1,0,0,0,0,0,0,0
Spain,24.31679670268531,62.016574585635354,59.685114503816784,27.734374999999996,70.40567951318458,84.5749342681858,93.55231143552312,2018,72.29208677342172,0,0,0,0,0,0,0,0,0,1
Sri Lanka,16.430268042354935,80.80110497237568,43.79770992366412,59.9609375,33.10344827586207,58.895705521472394,79.92700729927007,2018,32.47464619108438,0,0,0,0,0,0,0,1,0,0
Sweden,100.0,91.0220994475138,64.64694656488547,55.66406249999999,90.77079107505071,80.01752848378615,91.30170316301702,2018,90.16227018035214,0,0,0,0,0,0,0,0,0,1
Switzerland,100.0,91.16022099447511,67.74809160305341,50.0,94.27991886409737,81.24452234881683,94.22141119221409,2018,94.42190584256248,0,0,0,0,0,0,0,0,0,1
Syria,47.31917196198222,12.154696132596685,32.87213740458015,73.4375,12.636916835699791,47.23926380368097,23.236009732360092,2018,12.636914669137528,0,0,0,0,1,0,0,0,0,0
Tajikistan,11.172582268801358,40.331491712707184,22.61450381679389,36.5234375,47.870182555780936,52.41016652059597,70.92457420924573,2018,44.665312157683175,0,1,0,0,0,0,0,0,0,0
Tanzania,31.87472000216857,66.43646408839778,21.708015267175565,52.734375,9.411764705882351,33.391761612620506,60.27980535279804,2018,10.344827121943613,0,0,0,0,0,0,0,0,1,0
Thailand,9.529555464565863,87.98342541436462,48.4732824427481,71.09375,65.57809330628804,61.96319018404909,86.19221411192213,2018,72.71804840521197,0,0,0,0,0,0,1,0,0,0
Togo,33.18914144555697,59.94475138121547,12.356870229007635,30.859375,23.529411764705877,22.173531989482907,28.83211678832117,2018,13.306285711137535,0,0,0,0,0,0,0,0,1,0
Tunisia,20.70213773336722,37.430939226519335,42.93893129770992,7.8125,35.55780933062879,60.4732690622261,55.10948905109488,2018,39.87829266406938,0,0,0,0,1,0,0,0,0,0
Turkey,35.817984332333765,44.75138121546961,54.77099236641221,20.703125,53.63083164300203,60.122699386503065,83.94160583941604,2018,53.97565922920893,0,0,0,0,1,0,0,0,0,0
Turkmenistan,12.158398351342655,57.59668508287292,48.4732824427481,38.86718749999999,56.7342799188641,45.31113058720421,93.24817518248176,2018,60.5070999331213,0,1,0,0,0,0,0,0,0,0
Uganda,20.044927011673018,62.15469613259668,15.36259541984733,50.5859375,26.81541582150103,20.771253286590703,66.30170316301704,2018,25.19269475105092,0,0,0,0,0,0,0,0,1,0
Ukraine,3.614658969318087,22.51381215469613,37.83396946564885,36.5234375,25.63894523326572,53.37423312883436,85.94890510948905,2018,25.49696134988965,0,1,0,0,0,0,0,0,0,0
United Arab Emirates,100.0,39.22651933701657,100.0,36.32812500000001,79.81744421906693,58.72042068361089,47.201946472019465,2018,77.26165848861602,0,0,0,0,1,0,0,0,0,0
United Kingdom,26.94563958946209,64.08839779005524,59.351145038167935,51.171875,88.25557809330631,77.82646801051709,87.16545012165449,2018,78.60041024476956,0,0,0,0,0,0,0,0,0,1
United States,43.704512992664135,75.5524861878453,66.69847328244275,56.83593750000002,82.08924949290063,71.77914110429448,89.47688564476884,2018,84.25963550745601,0,0,0,0,0,1,0,0,0,0
Uruguay,50.933830931300314,86.32596685082872,52.14694656488549,25.390625,71.80527383367141,67.57230499561787,88.7469586374696,2018,73.3265719307363,0,0,0,1,0,0,0,0,0,0
Uzbekistan,85.10878845939857,100.0,34.30343511450382,64.06249999999999,66.06490872210954,53.0236634531113,96.35036496350365,2018,63.529415710944406,0,1,0,0,0,0,0,0,0,0
Venezuela,17.087478764049134,18.37016574585635,47.51908396946565,10.937499999999998,39.89858012170386,57.58106923751096,89.3552311435523,2018,48.90466531440162,0,0,0,1,0,0,0,0,0,0
Vietnam,25.9598235069208,85.35911602209944,34.112595419847324,34.5703125,45.92292089249493,61.52497808939528,83.02919708029195,2018,45.33468319968318,0,0,0,0,0,0,1,0,0,0
Yemen,21.03074309421432,33.70165745856353,21.087786259541982,16.2109375,10.466531440162274,30.061349693251532,65.26763990267641,2018,15.294116331646045,0,0,0,0,1,0,0,0,0,0
Zambia,26.94563958946209,69.47513812154696,26.81297709923664,43.1640625,31.19675456389452,25.854513584574928,63.6861313868613,2018,33.97565799117321,0,0,0,0,0,0,0,0,1,0
Zimbabwe,32.53193072386278,56.07734806629834,17.032442748091604,25.78125,17.30223123732251,21.735319894829093,66.54501216545012,2018,21.01419878296146,0,0,0,0,0,0,0,0,1,0
